created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T15:48:38+00:00,1,23.356,88.535,0.0,-78,-75,128,1,26.57,,,,
2025-11-21T15:49:01+00:00,2,23.431,88.024,0.0,-79,-77,128,1,26.95,,,,
2025-11-21T15:49:29+00:00,3,23.495,87.666,0.0,-76,-76,128,1,27.37,,,,
2025-11-21T15:49:52+00:00,4,23.57,87.383,0.0,-74,-74,128,1,27.8,,,,
2025-11-21T15:50:15+00:00,5,23.603,87.185,0.0,-72,-72,128,1,28.18,,,,
2025-11-21T15:50:37+00:00,6,23.603,86.948,0.0,-75,-73,128,1,28.55,,,,
2025-11-21T15:51:00+00:00,7,23.624,86.819,0.0,-75,-61,128,1,28.93,,,,
2025-11-21T15:51:23+00:00,8,23.624,86.781,0.0,-75,-67,128,1,29.32,,,,
2025-11-21T15:51:46+00:00,9,23.635,86.689,0.0,-77,-71,128,1,29.7,,,,
2025-11-21T15:52:09+00:00,10,23.646,86.62,0.0,-78,-75,128,1,30.08,,,,
2025-11-21T15:52:32+00:00,11,23.667,87.162,0.0,-75,-75,128,1,30.47,,,,
2025-11-21T15:52:55+00:00,12,23.678,86.903,0.0,-76,-75,128,1,30.85,,,,
2025-11-21T15:53:20+00:00,13,23.667,86.735,0.0,-71,-64,65535,1,31.27,,,,
2025-11-21T15:53:43+00:00,14,23.678,86.529,0.0,-71,-64,65535,1,31.65,,,,
2025-11-21T15:54:06+00:00,15,23.699,86.491,0.0,-71,-64,65535,1,32.03,,,,
2025-11-21T15:54:33+00:00,16,23.678,86.369,0.0,-71,-64,65535,1,32.43,,,,
2025-11-21T15:54:56+00:00,17,23.635,86.254,0.0,-72,-64,65535,1,32.87,,,,
2025-11-21T15:55:19+00:00,18,23.603,86.445,0.0,-72,-64,65535,1,33.25,,,,
2025-11-21T15:55:42+00:00,19,23.517,86.636,0.0,-72,-64,65535,1,33.63,,,,
2025-11-21T15:56:05+00:00,20,23.549,86.803,0.0,-72,-64,65535,1,34.02,,,,
2025-11-21T15:56:28+00:00,21,23.56,86.895,0.0,-72,-64,65535,1,34.38,,,,
2025-11-21T15:56:51+00:00,22,23.57,86.926,0.0,-73,-64,65535,1,34.78,,,,
2025-11-21T15:57:13+00:00,23,23.538,86.987,0.0,-73,-64,65535,1,35.15,,,,
2025-11-21T15:57:36+00:00,24,23.56,87.101,0.0,-73,-64,65535,1,35.53,,,,
2025-11-21T15:57:59+00:00,25,23.549,87.017,0.0,-74,-64,65535,1,35.92,,,,
2025-11-21T15:58:22+00:00,26,23.463,87.101,0.0,-74,-64,65535,1,36.3,,,,
2025-11-21T15:58:46+00:00,27,23.399,87.223,0.0,-75,-64,65535,1,36.7,,,,
2025-11-21T15:59:08+00:00,28,23.367,87.467,0.0,-75,-64,65535,1,37.07,,,,
2025-11-21T15:59:31+00:00,29,23.41,87.574,0.0,-75,-64,65535,1,37.45,,,,
2025-11-21T15:59:54+00:00,30,23.367,87.498,0.0,-77,-64,65535,1,37.83,,,,
