created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T18:38:41+00:00,1,0,0,0,-78,-68,283,2,0.38,,,,
2025-11-21T18:39:05+00:00,2,21.629,95.448,0,-79,-69,283,2,0.77,,,,
2025-11-21T18:39:30+00:00,3,21.619,95.684,0,-79,-69,276,1,1.15,,,,
2025-11-21T18:39:53+00:00,4,21.801,96.066,0,-79,-69,276,1,1.57,,,,
2025-11-21T18:40:16+00:00,5,21.576,95.615,0,-79,-69,276,1,1.95,,,,
2025-11-21T18:40:39+00:00,6,21.447,95.745,0,-79,-69,276,1,2.33,,,,
2025-11-21T18:41:02+00:00,7,21.34,96.104,0,-79,-69,276,1,2.72,,,,
2025-11-21T18:41:24+00:00,8,21.265,96.401,0,-79,-69,276,1,3.1,,,,
2025-11-21T18:41:47+00:00,9,21.211,96.722,0,-79,-69,276,1,3.48,,,,
2025-11-21T18:42:10+00:00,10,21.114,97.004,0,-79,-69,276,1,3.87,,,,
2025-11-21T18:42:33+00:00,11,21.05,97.317,0,-79,-69,276,1,4.25,,,,
2025-11-21T18:42:56+00:00,12,21.018,97.507,0,-79,-69,276,1,4.63,,,,
2025-11-21T18:43:19+00:00,13,21.029,97.775,0,-79,-69,276,1,5,,,,
2025-11-21T18:43:42+00:00,14,21.072,97.904,0,-80,-69,268,1,5.38,,,,
2025-11-21T18:44:04+00:00,15,21.093,98.011,0,-80,-69,268,1,5.77,,,,
2025-11-21T18:44:27+00:00,16,21.125,98.034,0,-80,-69,268,1,6.15,,,,
2025-11-21T18:44:59+00:00,17,21.093,97.904,0,-80,-69,268,1,6.67,,,,
2025-11-21T18:45:21+00:00,18,20.996,98.026,0,-80,-69,268,1,7.05,,,,
2025-11-21T18:45:44+00:00,19,21.007,98.217,0,-80,-69,268,1,7.43,,,,
2025-11-21T18:46:07+00:00,20,21.007,98.255,0,-79,-69,266,1,7.8,,,,
2025-11-21T18:46:30+00:00,21,21.05,98.309,0,-79,-69,266,1,8.2,,,,
2025-11-21T18:46:53+00:00,22,21.061,98.293,0,-79,-69,266,1,8.58,,,,
2025-11-21T18:47:15+00:00,23,21.093,98.255,0,-79,-69,266,1,8.95,,,,
2025-11-21T18:47:38+00:00,24,21.136,98.217,0,-79,-69,266,1,9.33,,,,
2025-11-21T18:48:01+00:00,25,21.179,98.209,0,-79,-69,266,1,9.72,,,,
2025-11-21T18:48:24+00:00,26,21.232,98.232,0,-79,-69,266,1,10.08,,,,
2025-11-21T18:48:47+00:00,27,21.307,98.057,0,-79,-69,266,1,10.47,,,,
2025-11-21T18:49:10+00:00,28,21.329,97.942,0,-79,-69,266,1,10.85,,,,
2025-11-21T18:49:33+00:00,29,21.35,97.919,0,-79,-69,266,1,11.25,,,,
2025-11-21T18:50:38+00:00,30,21.361,97.385,0,-79,-69,266,1,12.33,,,,
2025-11-21T18:51:01+00:00,31,21.34,97.279,0,-79,-69,270,1,12.7,,,,
2025-11-21T18:51:26+00:00,32,21.307,97.248,0,-79,-69,270,1,13.08,,,,
2025-11-21T18:51:51+00:00,33,21.265,97.286,0,-79,-69,270,1,13.55,,,,
2025-11-21T18:52:14+00:00,34,21.222,97.401,0,-79,-69,270,1,13.93,,,,
