created_at,entry_id,Temperature,Humidity,DisconnectedTotal,RSL_out,RSL_in,RPL_rank,Hopcount,ConnectedTotal
2025-11-09T12:26:26+00:00,1,21.994,69.66,0,-76,-103,1243,4,3
2025-11-09T12:27:03+00:00,2,22.048,70.828,0,-75,-102,1243,4,3.53
2025-11-09T12:28:00+00:00,3,22.048,69.744,0,-75,-101,1243,4,4.6
2025-11-09T12:28:32+00:00,4,22.112,69.958,0,-76,-101,1243,4,5.08
2025-11-09T12:29:17+00:00,5,22.144,68.92,0,-76,-101,1243,4,5.78
2025-11-09T12:29:46+00:00,6,22.187,69.775,0,-77,-102,1243,4,6.35
2025-11-09T12:30:16+00:00,7,22.219,69.18,0,-77,-101,1413,4,6.87
2025-11-09T12:31:06+00:00,8,22.09,69.775,0,-76,-101,1413,4,7.35
2025-11-09T12:32:08+00:00,9,21.876,70.698,0,-75,-100,1480,4,8.38
2025-11-09T12:32:40+00:00,10,21.769,70.766,0,-75,-100,1480,5,9.22
2025-11-09T12:33:16+00:00,11,21.704,71.178,0,-76,-101,1480,5,9.75
2025-11-09T12:33:46+00:00,12,21.672,71.629,0,-75,-101,1596,5,10.38
2025-11-09T12:34:14+00:00,13,21.64,71.751,0,-75,-101,1596,5,10.85
2025-11-09T12:34:56+00:00,14,21.651,72.117,0,-75,-101,1596,5,11.45
2025-11-09T12:35:42+00:00,15,21.619,72.247,0,-75,-101,1596,5,12
2025-11-09T12:36:24+00:00,16,21.629,72.59,0,-76,-100,1596,5,12.88
2025-11-09T12:36:52+00:00,17,21.64,72.91,0,-75,-100,1594,5,13.5
2025-11-09T12:37:46+00:00,18,21.64,72.544,0,-75,-100,1594,5,14.2
2025-11-09T12:38:35+00:00,19,21.608,73.208,0,-75,-100,1594,5,14.9
2025-11-09T12:41:02+00:00,20,21.608,73.055,0,-75,-101,1613,5,16.9
2025-11-09T12:41:54+00:00,21,21.49,72.895,0,-75,-101,1647,5,18.3
2025-11-09T12:42:30+00:00,22,21.404,72.598,0,-74,-101,1647,5,19
2025-11-09T12:42:58+00:00,23,21.318,73.185,0,-75,-100,1764,5,19.58
2025-11-09T12:43:46+00:00,24,21.254,73.185,0,-75,-100,1764,5,20.23
2025-11-09T12:44:29+00:00,25,21.254,73.284,0,-75,-100,1764,5,20.97
2025-11-09T12:44:59+00:00,26,21.19,73.368,0,-75,-100,1741,5,21.6
2025-11-09T12:45:59+00:00,27,21.147,73.467,0,-75,-100,1741,5,22.42
2025-11-09T12:46:32+00:00,28,21.157,73.864,0,-75,-101,1741,5,23.08
2025-11-09T12:47:03+00:00,29,21.093,73.933,0,-75,-101,1741,5,23.62
2025-11-09T12:47:55+00:00,30,21.061,73.421,0,-76,-101,1741,5,24.37
